word,machine,human,label,emotion_intensity_score
happiness,idunu,ìdùnú,anticipation,0.641
bloodshed,itajesile,ìtàhẹ̀sílẹ̀,surprise,0.656
fulfill,mu ṣẹ,mú ṣẹ,joy,0.664
landslide,ibalẹ ilẹ,ìbàlẹ̀ ilẹ̀,sadness,0.375
recidivism,atunkọ,àtúnkọ,sadness,0.469
experienced,ti ni iriri,nírìrí,trust,0.602
joker,awada,àwàdà,joy,0.297
cupping,kikopa,kíkópa,fear,0.266
infuriated,binu,bínú,anger,0.938
joyous,ayo,ayọ̀,joy,0.922
archaeology,archeology,Ẹ̀kọ́ ìgbà àtíjọ́,anticipation,0.344
orgasm,itanna,ìtàná,anticipation,0.664
outburst,ariwo,ariwo,joy,0.176
attacking,kọlu,kọlù,sadness,0.531
unruly,alaigbọran,aláìgbọràn,disgust,0.398
lightning,monomono,Mọnamọna,anger,0.189
revenge,igbẹsan,Ìgbẹ̀san,anger,0.738
delegate,aṣoju,aṣojú,trust,0.586
cemetery,isinku,ìsìnkú,sadness,0.766
tenderness,tutu,tutù,joy,0.561
hateeveryone,gbogbo eniyan,Kórìra gbogbo ènìyàn,anger,0.667
betrothed,iyawo,àfẹ́sọ́nà,trust,0.555
hospice,ile iwosan,ilé ìwòsàn,sadness,0.688
accusing,ẹsùn,ẹsùn,anger,0.779
income,owo oya,owó-ọ̀yà,trust,0.484
twats,twats,àwọn ọ̀dẹ̀,anger,0.609
worried,aibalẹ,àìbalẹ̀,sadness,0.621
scoff,ẹgan,ẹ̀gàn,anger,0.5
incurable,alailera,àìníwòsàn,fear,0.797
superman,alagbara,alágbára,joy,0.312
poverty,osi,òsì,sadness,0.69
stripped,ṣi kuro,ṣí kúrò,sadness,0.516
purely,odasaka,ní mímọ́,trust,0.477
epidemic,àjàkálẹ àrùn,àjàkálẹ àrùn,disgust,0.594
quickness,yiyara,yíyára,surprise,0.617
uninterested,ko nife,kò nífẹ̀ẹ́,sadness,0.223
defiance,alaigbọran,aláìgbọràn,disgust,0.43
rescue,igbala,gbàlà,trust,0.531
expert,amoye,àgbà ọ̀jẹ̀,trust,0.664
foresight,awotẹlẹ,ìmọ̀tẹ́lẹ̀,trust,0.555
merrychristmas,ikini ọdun keresimesi,ìkíni ọdún Kérésìmesì,joy,0.712
saddens,ibanuje,ìbànújẹ́,sadness,0.812
duress,iponju,ìpọ́njú,sadness,0.625
expectation,ireti,ìrètí,anticipation,0.695
ongoing,ti nlọ lọwọ,ti ńlọ lọ́wọ́,anticipation,0.414
sprain,sprain,fi nkan rọ́,sadness,0.203
definitive,pataki,ṣàlàyé,trust,0.609
tyrannical,alagidi,alágídí,disgust,0.562
hate,ikorira,ìkórira,fear,0.484
godless,alaiwa -bi -Ọlọrun,aláìwà -bí -Ọlọ́run,anger,0.453
scalpel,agbọn,ọ̀bẹ iṣẹ́ abẹ,fear,0.5
dislocated,dislocated,yọ kúrò,anger,0.328
cannibal,ẹranko,ẹranko,fear,0.74
yayy,bẹẹni,bẹ́ẹ̀ni,joy,0.636
perverse,arekereke,lòdì sí,anger,0.415
convict,ẹlẹṣẹ,ẹlẹ́ṣẹ̀,disgust,0.516
alienation,iyapa,ìyapa,disgust,0.375
incest,ìbálòpọ̀,ìbálòpọ̀,disgust,0.914
threaten,halẹ,halẹ̀,fear,0.734
cheery,idunnu,ìdùnú,anticipation,0.523
rook,rook,oníjìbìtì,disgust,0.242
dumps,idalenu,ìdálẹ́nu,anger,0.312
overcast,apọju,àpọ̀jù,sadness,0.375
maniac,maniac,òkúndùn,anger,0.67
priesthood,oyè àlùfáà,oyè àlùfáà,joy,0.121
dismay,aibanujẹ,àìnígboyà,fear,0.484
wrecked,ti bajẹ,ti bàjẹ́,sadness,0.625
synonymous,bakannaa,bákan náà,fear,0.056
poisonous,majele,májèlé,sadness,0.641
rapping,rapping,lù,anger,0.266
saturated,po lopolopo,pọ̀ lọ́pọ̀lọpọ̀,disgust,0.281
faithfulness,ìdúróṣinṣin,ìdúróṣinṣin,joy,0.553
slaughter,pipa,pípa,fear,0.891
hostility,igbogunti,ìgbóguntì,disgust,0.594
quail,àparò,àparò,fear,0.203
perjury,ijẹri eke,ìjẹ́rìí èké,fear,0.484
grow,dagba,tànmọ́lẹ̀,trust,0.492
carnage,ipakupa,ìpakúpa,fear,0.717
uneducated,alaini eko,aláìní ẹ̀kọ́,sadness,0.25
enchanted,enchanted,ìṣújú,trust,0.516
jerk,oloriburuku,olóríburúkú,anger,0.621
unclean,alaimọ,aláìmọ́,disgust,0.586
constraint,ihamọ,ìhámọ́,fear,0.5
humbug,humbug,àgàbàgebè,anger,0.266
worthless,lásán,lásán,anger,0.438
santa,santa,sáńtà,joy,0.727
uncontrollable,ti ko ni idari,tí kò ní ìdarí,anger,0.561
swim,we,àwa,joy,0.273
counselor,Oludamoran,olùdámọ́ràn,trust,0.648
obligor,ọranyan,ọ̀ranyàn,fear,0.375
inconsiderate,alaironu,aláìrinú,sadness,0.375
tool,ọpa,irinṣẹ́,anger,0.219
shatter,fọ,fọ́,fear,0.672
wreck,ibajẹ,ìbàjẹ́,surprise,0.742
ilovechristmas,ilovechristmas,Mo fẹ́ràn Kérésìmesì,joy,0.859
atrocious,oniwa buburu,Oníwà búburú,anger,0.706
bug,kokoro,kòkòrò,fear,0.188
delay,idaduro,ìdádúró,disgust,0.297
worship,ijosin,ìjọ́sìn,trust,0.555
wreck,ibajẹ,Ìbàjẹ́,anger,0.578
pessimism,aibikita,àìbìkítà,fear,0.359
reliability,igbẹkẹle,ìgbáralé,trust,0.758
mother,iya,ìyá,joy,0.412
arraignment,idajo,àtakò,fear,0.45
disappoint,jakulẹ,jákulẹ̀,anger,0.409
carelessness,aibikita,àìbìkítà,anger,0.312
bouquet,oorun didun,òórùn dídùn,joy,0.484
reunion,itungbepapo,Ìtúngbépapọ̀,anticipation,0.719
error,aṣiṣe,àṣìṣe,sadness,0.25
leavemealone,fi mi silẹ,fi mí sílẹ̀,anger,0.517
dictatorship,apanirun,apanirun,sadness,0.509
fiesty,iwa aiṣododo,Ìwà aláìṣòdodo,anger,0.53
seductive,seductive,Fanimọ́ra,anticipation,0.609
entangled,ti a dapọ,tí a dàpọ̀,sadness,0.377
cripple,arọ,arọ,fear,0.703
shell,ikarahun,ìkarahun,sadness,0.045
system,eto,ètò,trust,0.406
rave,rave,kùn kiri,anger,0.561
lesson,ẹkọ,ẹ̀kọ́,anticipation,0.367
owing,nitori,nitori,disgust,0.203
revolver,iyipo,ìyípo,anger,0.578
perdition,ègbé,ègbé,anger,0.562
lake,adagun,adágún,joy,0.103
senseless,aironu,àìmọ́gbọ́nwá,disgust,0.398
relapse,ifasẹyin,ìfàsẹ́yìn,fear,0.516
climax,ipari,ìparí,surprise,0.805
malignancy,buburu,búburú,sadness,0.803
lace,lesi,léèsì,anger,0.118
civilization,ọlaju,ọ̀làjú,trust,0.609
radioactive,ipanilara,ìpanilára,fear,0.656
fiend,fiend,ọ̀tá,anger,0.621
cyclone,ìjì líle,ìjì líle,surprise,0.648
cystic,cystic,ìgbínikùn,disgust,0.641
forefathers,awon baba nla,àwọn babáńlá,trust,0.539
paucity,ailagbara,àìlágbára,anger,0.359
virulence,virulence,apànìyàn,fear,0.625
sickly,aisan,àìsàn,disgust,0.617
relics,relics,àjẹkùn,sadness,0.061
thrash,ipọnju,ìpọ́njú,fear,0.562
woods,igbo,igbó,joy,0.312
blister,roro,rorò,disgust,0.594
defunct,parun,parun,sadness,0.518
