word,label
atọ m,positive
gbụ kwe gị,negative
ga abara,positive
iberiberi,negative
mebi,negative
i ga dị,positive
obi kpo kwara unu akpo,negative
enweghi m ike,negative
igwe bụ ike,positive
di aso,positive
mmụọ nso,negative
odumeje,positive
gbuo m,negative
ònwù,negative
deeme,positive
ike gi agwula,negative
naagba mbọ,positive
ekenekwaa,positive
nnanyelugo,positive
gaagozi,positive
isi adiro,negative
so nma,positive
nukwu nmadu,positive
onweghi,negative
meruo gi aru,negative
ndu na atoya uto,positive
gosim uzo,positive
kpolia,negative
ọ dozi akụ,positive
ne me mma,positive
eme bi go,negative
eme mma,positive
ri jụọ nsị,negative
dike,positive
ndi oshi,negative
mara ma,positive
apụghị,negative
malụ mma,positive
gbagburu,negative
kwezuenu,positive
oma,positive
dicha oku,negative
oluekwensu,negative
chekwaba ndu,positive
ga e gbu,negative
tufiakwa,negative
nkita lacha gi anya,negative
gbuo mmadu,negative
otuto,positive
iberibe ‍️,negative
ntị ike,negative
gbaghara,positive
akpali mmadu,negative
meela,positive
fugbue gi,negative
anaghí,negative
guru ike,negative
naakom,negative
ogwu ego,negative
kụọ,negative
akpi ogbara,negative
onye àlà,negative
isi adikwa gi,negative
agwugo mu,negative
ike gi agwụ go,negative
gwo ogwu ego,negative
chọọ okwu,negative
di nma,positive
imeela,positive
ofụma,positive
karịa,positive
obi ụfụ,negative
dị gị mma,positive
erigbu,negative
onye ohi,negative
ekenebe,positive
ayi ala,negative
ajo ihe,negative
nwenne,positive
onyenwe m,positive
yesa gi ara,negative
onu ọjọọ,negative
owuite,negative
ala na apu,negative
agbụ e,negative
tagburu,negative
chineke,positive
nke oma,positive
onye nzoputa,positive
nsopuru,positive
nnọọ️,positive
obi uto,positive
okaka,positive
takpuchie,negative
ojo lu,negative
utó,positive
obianuju,positive
mmeme,negative
ahụike,positive
oyim,positive
cho okwu,negative
nghọta,positive
gozikwuo,positive
agwụ go,negative
nnwanem,positive
nsogbu,negative
lasia gi anya,negative
enwegi,negative
kele,positive
nnukwu mkpa,positive
tufia,negative
anuofia ‍️‍️,negative
onye ara ️,negative
enwu oku,negative
obi ufu,negative
amarozim,negative
duwagi,negative
okala mmuo,negative
na esekwa okwu,negative
gị bụ nsi,negative
ezekwueche,positive
kara aka,positive
kwụdosieike,positive
omakazi,positive
ji isi kote,positive
ufû obi,negative
tisago,negative
kpachara anyi,negative
biri kwe,positive
ndo nne,positive
onye ojo,negative
iburo kwa,negative
ogbanje,negative
uwa mmebi,negative
ugo,positive
ekwu eme,positive
ezendigbo,positive
ga araputa,negative
onyeara,negative
emegbu,negative
ya gazikwara,positive
mebiri,negative
anuofia,negative
ike gwu‍️,negative
osebuluwa,positive
nmeri,negative
onye eze,positive
ezinwanne,positive
egbe eli igwe,negative
ịchọ okwu,negative
amaro,negative
ogologo ndu,positive
ndị ala,negative
agwula,negative
aruruala,negative
kene,positive
sagbukwa gi,negative
mechie gi onu,negative
anwuo m,negative
tolu ato,positive
ume ngwu,negative
igwe ndi igwe,positive
iwegi,negative
‍‍ nsogbu,negative
anuri,positive
mba oooo,negative
rijuo nsi onu,positive
ajo ihe ‍️,negative
isi nakukazi,negative
agọzigo,positive
mgbali,positive
ike agwuro,negative
tufuo,negative
ara na gba gi,negative
ike a gwugom,negative
ọjị ọnụ,negative
ahụ sịrị ike,negative
doziwa,positive
zigbote,positive
onyinye,positive
ajo mmadu,positive
piakwa gi onu,negative
siri ike,positive
kwenu,positive
egbuo gi,negative
agbusi,negative
wannem,positive
isi a gbarigo,negative
aru e si ike,negative
ike agwugom,negative
gaagozi gi,positive
adigo,positive
fu uzo,negative
eziokwum,positive
deje,positive
njakiri,negative
gaegbu mmadu,negative
òmá,positive
ogaghi,negative
ego adirozi,negative
onye ojoo ‍️,negative
anya mmiri,negative
dikwa ike,positive
naatọ ụtọ,positive
egbugo,negative
abawago,negative
ọjọọ,negative
imewa gom,negative
onye ojor,negative
nwokem,positive
ike adịro,negative
ajoka,negative
oti mkpu,negative
gbakwa okwu,negative
egwu oma,positive
ndewonu,positive
nnem ️️,positive
otele okuko,negative
kpọ kwa gị ọkụ,negative
oku,negative
gba chi e gị ntị,negative
afufu,negative
asa,positive
ahu isike,positive
ndị uchu,negative
óbị,positive
ntọ ntọ,positive
nkita,negative
ka ana aria,negative
tagbuo,negative
udo,positive
gbafuru m,negative
adirọ gị,negative
ejikem,positive
nkanka,positive
rachaa gi anya,negative
odinma,positive
zoba kwa,positive
nze,positive
laputakwa,negative
nzuzu,negative
emechisi mmadu nti,negative
akwado,positive
ihe isi ike,negative
ndi ori,negative
tufuo gi,negative
ndị ọjọọ,negative
emela,positive
oganiihu,positive
ndu na aku,positive
ga akupu,negative
nese okwu,negative
ario,positive
oga niru,positive
ma mu ula,negative
agwu ike,negative
isi adiro gi,negative
ranye,negative
olaedo,positive
anaghị,negative
akpa amu,negative
isi gbari,negative
‍️‍️‍️‍️‍️ afo ga asa,negative
gozịe,positive
nile ndu,positive
kpọtụba,positive
ucheoma,positive
gbara anyi egwu eke,negative
gwụrụ ike,negative
nara ekele,positive
deme nụ,positive
ahuike,positive
nwannem,positive
onye amuma,positive
fachikwaa,negative
nkem,positive
ndi ara,negative
ngwuro,negative
ogaranya ngada,positive
di mu mma,positive
ojija mma,positive
oriaku,positive
egwu a tụgbuo,negative
udara mmicha,positive
ofuma ️,positive
afọ tara mmiri,negative
malu akwukwo,positive
daajuo,positive
ezuzi,negative
na kpari,negative
nwanyi olaedo,positive
anụ nganga mpi,negative
osebelu,negative
ikpo ya oku,negative
dim mma,positive
onwero,negative
gbụ kwe,negative
achogbu,negative
egbuwara,positive
too anyi uto,positive
ọnye mmerị,negative
agadi nwoke,positive
ya gaziere,positive
isi agbaka go,negative
asala,negative
agaghi,negative
nsọ,positive
na ara,negative
ịsị oche,negative
idinma,positive
atọm,positive
dike na dimkpa,positive
emeru,negative
isi ike,negative
a gbarigo,negative
negbuke,negative
maara gi mma,positive
na akpari,negative
ka gị mma,positive
nwayo,positive
gaatugbu gị,negative
gbagharam,positive
ga egbu mmadụ,negative
onye isi adiro,negative
gide sie ike,positive
natụ m egwu,negative
mezie,positive
beribe,negative
kwado,positive
ashewo,negative
ezemmuo,positive
akpịrị,negative
onwe m,positive
itibolibo,negative
gọzi,positive
amuosu,negative
kitikpa,negative
gozikwa,positive
èzigbò,positive
egbu mmadụ,negative
atago afụfụ,negative
ebube dike,positive
iwe ọkụ ‍️‍️‍️‍️,negative
dukà dukà,negative
ata gi aru,negative
obi aňụlị,positive
obi chineke nna,positive
mmâ,positive
a furum gi nanya,positive
ibu gi nmadu,negative
aru ike,positive
egbu kwa,negative
na añụ anwụrụ ‍️‍️,positive
gbu,negative
obi nwayo,positive
ịga adị,positive
egbu zi,negative
igbu go,negative
nafufu,negative
lachaa gị,negative
ndú,positive
